SampleID,Dry Envelope + Litter (g),Notes
GCT4A1,2.9087,
GCT4A2,2.6782,
GCT4A3,2.775,
GCT4A4,2.7631,
GCT4A5,3.354,
GCT4A6,2.6383,
GCT4A7,2.8858,
GCT4A8,2.6099,
GCT4B1,2.8096,
GCT4B2,2.688,
GCT4B3,2.7219,
GCT4B4,3.2335,
GCT4B5,2.9523,
GCT4B6,2.7556,
GCT4B7,2.9119,
GCT4B8,2.5069,
GCT4C1,2.5016,
GCT4C2,2.6448,
GCT4C3,2.8244,
GCT4C4,2.9241,
GCT4C5,2.6835,
GCT4C6,2.7599,
GCT4C7,3.0558,
GOT4A1,2.6545,
GOT4A2,2.7377,
GOT4A3,3.2598,
GOT4A4,3.2678,
GOT4A5,2.816,
GOT4A6,2.5276,
GOT4A7,2.5816,
GOT4A8,2.7158,
GOT4B1,2.5932,
GOT4B2,2.6658,
GOT4B3,2.6483,
GOT4B4,2.9765,
GOT4B5,3.3443,
GOT4B6,2.6914,
GOT4B7,2.8625,
GOT4B8,3.2426,
GOT4C1,2.617,
GOT4C2,2.6288,
GOT4C3,2.6515,
GOT4C4,3.6653,
GOT4C5,3.1115,
GOT4C6,2.7956,
GOT4C7,3.0113,
GOT4C8,2.5984,
SCT4A1,2.9971,
SCT4A2,2.5674,
SCT4A3,2.675,
SCT4A4,2.6009,
SCT4A5,2.6066,
SCT4A6,3.221,
SCT4A7,2.5343,
SCT4A8,2.9817,
SCT4B1,2.7168,
SCT4B2,2.8225,
SCT4B3,2.6777,
SCT4B4,3.0542,
SCT4B5,2.759,
SCT4B6,2.6822,
SCT4B7,2.8826,
SCT4B8,2.6812,
SCT4C1,2.8246,
SCT4C2,2.6713,
SCT4C3,2.7729,
SCT4C4,2.5381,
SCT4C5,2.5099,
SCT4C6,2.5894,
SCT4C7,2.578,
SCT4C8,2.7748,
SOT4A1,2.6401,
SOT4A2,2.7945,
SOT4A3,2.5656,
SOT4A4,3.1801,
SOT4A5,2.6879,
SOT4A6,2.643,
SOT4A7,2.5523,
SOT4A8,2.6093,
SOT4B1,2.8413,
SOT4B2,3.1317,
SOT4B3,2.6369,
SOT4B4,2.659,
SOT4B5,2.5991,
SOT4B6,2.5383,
SOT4B7,2.5475,
SOT4B8,2.5529,
SOT4C1,2.4985,
SOT4C2,2.593,
SOT4C3,2.612,
SOT4C4,2.8591,
SOT4C5,2.596,
SOT4C6,2.9027,
SOT4C7,2.7549,
SOT4C8,3.1679,