Specimen ID,Specimen,Sample,Sample ID,Run Time,All Abs. Count,All Count,E4 Abs. Count
25,T2_____7_15_20,58 1:10,3334,7/15/2020 5:13:21 PM,1520,30244,74.2
25,T2_____7_15_20,58 1:20,3395,7/15/2020 5:14:32 PM,790,15767,41.2
25,T2_____7_15_20,59 1:10,3336,7/15/2020 5:15:41 PM,1204,23998,11
25,T2_____7_15_20,60 1:10,3340,7/15/2020 5:17:07 PM,1394,27762,5.85
25,T2_____7_15_20,60 1:20 from 10x,3396,7/15/2020 5:18:17 PM,705,14063,4.45
25,T2_____7_15_20,60 1:20 from 1x,3397,7/15/2020 5:19:29 PM,744,14845,4.65
25,T2_____7_15_20,61 1:10,3343,7/15/2020 5:20:41 PM,1250,24915,5.65
25,T2_____7_15_20,62 1:10,3347,7/15/2020 5:22:15 PM,618,12340,36.6
25,T2_____7_15_20,63 1:10,3349,7/15/2020 5:23:25 PM,1582,31467,9.95
25,T2_____7_15_20,63 1:20,3398,7/15/2020 5:25:02 PM,758,15145,6.7
25,T2_____7_15_20,64,3351,7/15/2020 5:27:41 PM,1836,36504,15.2
25,T2_____7_15_20,64 1:10,3352,7/15/2020 5:26:23 PM,604,12065,0.5
25,T2_____7_15_20,64 1:2,3399,7/15/2020 5:28:51 PM,979,19524,6.65
25,T2_____7_15_20,65 1:10,3354,7/15/2020 5:30:01 PM,1499,29852,31
25,T2_____7_15_20,66 1:10,3356,7/15/2020 5:31:22 PM,1290,25698,8.3
25,T2_____7_15_20,66 1:10 from 1x,3400,7/15/2020 5:33:22 PM,1322,26307,9.3
25,T2_____7_15_20,67 1:10,3359,7/15/2020 5:34:31 PM,1189,23694,9.1
25,T2_____7_15_20,68 1:10,3362,7/15/2020 5:35:41 PM,979,19525,14.5
25,T2_____7_15_20,69 1:10,3364,7/15/2020 5:36:55 PM,1528,30409,10.4
25,T2_____7_15_20,69 1:10 from 1x,3401,7/15/2020 5:38:16 PM,1581,31495,11
25,T2_____7_15_20,70 1:10,3366,7/15/2020 5:39:31 PM,872,17412,13.3
25,T2_____7_15_20,71 1:10,3368,7/15/2020 5:40:44 PM,2199,43716,9.6
25,T2_____7_15_20,71 1:25 from 1x,3402,7/15/2020 5:42:19 PM,860,17173,4.8
25,T2_____7_15_20,72 1:10,3372,7/15/2020 5:43:46 PM,417,8322,2.25
25,T2_____7_15_20,72 1:5,3404,7/15/2020 5:45:16 PM,556,11099,6.1
25,T2_____7_15_20,73 1:10,3374,7/15/2020 5:46:40 PM,1342,26726,29.1
25,T2_____7_15_20,74 1:10,3377,7/15/2020 5:48:00 PM,505,10099,26.5
25,T2_____7_15_20,75 1:10,3379,7/15/2020 5:49:10 PM,1574,31325,10.3
25,T2_____7_15_20,75 1:20,3405,7/15/2020 5:50:42 PM,761,15181,4.45
26,T3_______8_5_20,unstained_GTA,3406,8/5/2020 1:43:41 PM,3.3,65,0
26,T3_______8_5_20,n1,3407,8/5/2020 1:49:42 PM,65.5,1292,0.35
26,T3_______8_5_20,n2,3408,8/5/2020 1:51:03 PM,64.9,1296,0.95
26,T3_______8_5_20,n3,3409,8/5/2020 1:52:58 PM,52.3,1037,0.2
26,T3_______8_5_20,n4,3410,8/5/2020 1:54:06 PM,66.6,1331,0.25
26,T3_______8_5_20,n5,3411,8/5/2020 1:55:42 PM,62.7,1254,0.55
26,T3_______8_5_20,76 1:10,3413,8/5/2020 2:01:19 PM,2346,46549,21.2
26,T3_______8_5_20,76 1:20,3412,8/5/2020 2:02:37 PM,1272,25331,8.9
26,T3_______8_5_20,77 1:10,3414,8/5/2020 2:03:46 PM,2298,45605,39.3
26,T3_______8_5_20,77 1:20,3415,8/5/2020 2:04:57 PM,1125,22424,20.4
26,T3_______8_5_20,78 1:10,3416,8/5/2020 2:06:47 PM,2496,49580,33
26,T3_______8_5_20,79 1:10,3419,8/5/2020 2:09:24 PM,4099,80969,40
26,T3_______8_5_20,79 1:50,3421,8/5/2020 2:11:02 PM,849,16917,8.25
26,T3_______8_5_20,80 1:10,3422,8/5/2020 2:12:10 PM,375,7487,4.4
26,T3_______8_5_20,80 1:5,3423,8/5/2020 2:13:42 PM,411,8209,13.4
26,T3_______8_5_20,80,3564,8/5/2020 2:15:01 PM,1679,33429,56.1
26,T3_______8_5_20,81 1:10,3424,8/5/2020 2:16:56 PM,5402,106390,21.1
26,T3_______8_5_20,81 1:50(1),3565,8/5/2020 2:21:28 PM,1131,22532,4.6
26,T3_______8_5_20,81 1:50,3425,8/5/2020 2:18:14 PM,1136,22641,5.1
26,T3_______8_5_20,82 1:10,3427,8/5/2020 2:19:30 PM,1527,30410,12.8
26,T3_______8_5_20,83 1:10,3428,8/5/2020 2:22:37 PM,3772,74621,15.5
26,T3_______8_5_20,unstained_GTA(1),3567,8/5/2020 2:23:45 PM,29.7,584,0.15
26,T3_______8_5_20,83 1:20,3429,8/5/2020 2:24:53 PM,1719,34181,9.4
26,T3_______8_5_20,84 1:10,3430,8/5/2020 2:26:02 PM,285,5705,0.1
26,T3_______8_5_20,84,3431,8/5/2020 2:27:09 PM,341,6804,0.8
26,T3_______8_5_20,85 1:10,3433,8/5/2020 2:28:25 PM,2196,43664,15.9
26,T3_______8_5_20,85 1:10 from OG,3432,8/5/2020 2:29:48 PM,1810,36025,13.4
26,T3_______8_5_20,87 1:10,3436,8/5/2020 2:31:10 PM,3402,67395,16.3
26,T3_______8_5_20,87 1:20,3437,8/5/2020 2:32:19 PM,1184,23600,8.1
26,T3_______8_5_20,88 1:10 from OG,3438,8/5/2020 2:35:01 PM,1891,59794,9.12
26,T3_______8_5_20,88 1:10,3439,8/5/2020 2:33:51 PM,2034,40428,8.85
26,T3_______8_5_20,89 1:10,3441,8/5/2020 2:36:34 PM,1346,26835,30.4
26,T3_______8_5_20,90 1:10,3442,8/5/2020 2:38:00 PM,471,9409,6.55
26,T3_______8_5_20,90 1:5,3443,8/5/2020 2:39:17 PM,480,9597,14.1
26,T3_______8_5_20,91 1:10,3444,8/5/2020 2:40:25 PM,5392,106160,52.3
26,T3_______8_5_20,91 1:50,3445,8/5/2020 2:41:34 PM,1093,21809,12.1
26,T3_______8_5_20,92 1:10,3446,8/5/2020 2:43:11 PM,2993,59352,38.9
26,T3_______8_5_20,92 1:20,3447,8/5/2020 2:44:19 PM,1475,29369,18.3
26,T3_______8_5_20,93 1:10,3448,8/5/2020 2:45:27 PM,235,4695,0.65
26,T3_______8_5_20,93,3449,8/5/2020 2:47:54 PM,425,8500,0.75
26,T3_______8_5_20,93(1),3568,8/5/2020 2:49:05 PM,488,17932,0.571
26,T3_______8_5_20,94 1:10,3450,8/5/2020 2:46:46 PM,3125,62021,16.3
26,T3_______8_5_20,94 1:20,3451,8/5/2020 2:50:44 PM,1370,27278,7.45
26,T3_______8_5_20,95 1:10,3452,8/5/2020 2:51:52 PM,505,10082,2.15
26,T3_______8_5_20,95 1:10 from OG,3454,8/5/2020 2:53:54 PM,375,7483,4.5
26,T3_______8_5_20,96 1:10,3453,8/5/2020 2:55:03 PM,343,6858,0.2
26,T3_______8_5_20,96 1:5,3455,8/5/2020 2:56:23 PM,149,2977,0.15
26,T3_______8_5_20,96,3569,8/5/2020 2:57:31 PM,576,11500,0.4
26,T3_______8_5_20,97 1:10,3456,8/5/2020 2:58:40 PM,515,10280,1.85
26,T3_______8_5_20,97 1:5,3459,8/5/2020 2:59:51 PM,582,11631,3.1
26,T3_______8_5_20,98 1:10,3457,8/5/2020 3:00:59 PM,2913,57762,11.9
26,T3_______8_5_20,99 1:10,3458,8/5/2020 3:02:38 PM,3739,73943,18.6
26,T3_______8_5_20,99 1:20,3480,8/5/2020 3:03:49 PM,1772,35284,10
26,T3_______8_5_20,100 1:10,3461,8/5/2020 3:05:07 PM,4068,80349,81.3
26,T3_______8_5_20,100 1:20,3462,8/5/2020 3:06:16 PM,2006,39853,44.2
26,T3_______8_5_20,102 1:10,3464,8/5/2020 3:07:55 PM,531,10605,2.35
26,T3_______8_5_20,102,3465,8/5/2020 3:09:03 PM,2912,57750,17.6
26,T3_______8_5_20,103 1:10,3466,8/5/2020 3:10:14 PM,4072,80433,21.3
26,T3_______8_5_20,103 1:20,3482,8/5/2020 3:12:19 PM,1932,38441,12.1
26,T3_______8_5_20,104 1:10,3467,8/5/2020 3:13:27 PM,190,3795,0.1
26,T3_______8_5_20,104,3483,8/5/2020 3:14:35 PM,375,7469,1.15
26,T3_______8_5_20,104(1),3570,8/5/2020 3:15:50 PM,425,18275,0.325
26,T3_______8_5_20,105 1:10,3468,8/5/2020 3:17:38 PM,3663,72423,9.85
26,T3_______8_5_20,106 1:10,3470,8/5/2020 3:26:21 PM,579,11551,2.65
26,T3_______8_5_20,106 1:5,3484,8/5/2020 3:32:23 PM,862,17206,4.7
26,T3_______8_5_20,107 1:10,3471,8/5/2020 3:27:36 PM,2774,55041,15
26,T3_______8_5_20,108 1:10,3473,8/5/2020 3:28:45 PM,2524,50124,20.1
26,T3_______8_5_20,109 1:10,3475,8/5/2020 3:30:09 PM,2678,53142,6.9
26,T3_______8_5_20,110 1:10,3476,8/5/2020 3:39:56 PM,474,9474,22.1
26,T3_______8_5_20,110 1:5,3479,8/5/2020 3:41:18 PM,542,10817,35.1
26,T3_______8_5_20,111 1:10,3477,8/5/2020 3:42:30 PM,1815,36125,13.7
27,T4_______8_12_20,unstained_GTA,3486,8/12/2020 10:36:30 AM,0,0,0
27,T4_______8_12_20,n1,3487,8/12/2020 10:37:48 AM,116,2287,0.35
27,T4_______8_12_20,n2,3488,8/12/2020 10:38:56 AM,200,3993,0.5
27,T4_______8_12_20,n3,3489,8/12/2020 10:40:19 AM,185,3692,0.35
27,T4_______8_12_20,n4,3490,8/12/2020 10:41:27 AM,166,3312,0.45
27,T4_______8_12_20,n5,3491,8/12/2020 10:42:35 AM,116,2304,0.6
27,T4_______8_12_20,86 1:10,3585,8/12/2020 10:44:13 AM,2738,54386,27.9
27,T4_______8_12_20,112 1:10,3492,8/12/2020 10:48:04 AM,2534,50326,16.7
27,T4_______8_12_20,113 1:10,3494,8/12/2020 10:49:15 AM,391,4618,2.03
27,T4_______8_12_20,113,3495,8/12/2020 10:50:11 AM,1162,23151,0.5
27,T4_______8_12_20,114 1:10,3496,8/12/2020 10:51:19 AM,188,3760,0
27,T4_______8_12_20,114,3497,8/12/2020 10:52:52 AM,317,9665,0.196
27,T4_______8_12_20,115 1:10,3498,8/12/2020 10:54:24 AM,2260,44909,20.6
27,T4_______8_12_20,116 1:10,3500,8/12/2020 10:55:32 AM,2335,46388,40.5
27,T4_______8_12_20,117 1:10,3502,8/12/2020 10:56:57 AM,525,10476,5.65
27,T4_______8_12_20,117 1:5,3503,8/12/2020 10:59:10 AM,668,13346,5.7
27,T4_______8_12_20,118 1:10,3504,8/12/2020 11:00:33 AM,2375,47178,12.3
27,T4_______8_12_20,118 1:20,3505,8/12/2020 11:01:47 AM,1100,21940,4
27,T4_______8_12_20,119 1:10,3506,8/12/2020 11:03:08 AM,2071,41148,36
27,T4_______8_12_20,120 1:10,3508,8/12/2020 11:04:17 AM,356,7113,1.25
27,T4_______8_12_20,120,3509,8/12/2020 11:06:15 AM,904,18016,40
27,T4_______8_12_20,121 1:10,3510,8/12/2020 11:07:23 AM,512,10231,2.45
27,T4_______8_12_20,121 1:2,3511,8/12/2020 11:08:31 AM,1266,25217,12
27,T4_______8_12_20,122  1:10,3512,8/12/2020 11:09:38 AM,640,12786,27.7
27,T4_______8_12_20,123 1:10,3514,8/12/2020 11:10:46 AM,2553,50640,22
27,T4_______8_12_20,124 1:10,3516,8/12/2020 11:12:22 AM,4221,83348,20.3
27,T4_______8_12_20,124 1:20,3517,8/12/2020 11:13:30 AM,2226,100167,9.83
27,T4_______8_12_20,125 1:10,3518,8/12/2020 11:15:36 AM,2523,50123,12.2
27,T4_______8_12_20,125 1:10 from OG,3519,8/12/2020 11:17:03 AM,1824,36257,2.2
27,T4_______8_12_20,126 1:10,3520,8/12/2020 11:18:12 AM,3772,74576,14.1
27,T4_______8_12_20,127 1:10,3522,8/12/2020 11:19:46 AM,3061,60615,38.2
27,T4_______8_12_20,128 1:10,3526,8/12/2020 11:22:03 AM,3902,77093,42
27,T4_______8_12_20,128 1:20,3525,8/12/2020 11:24:49 AM,1977,39330,23.7
27,T4_______8_12_20,129 1:10,3524,8/12/2020 11:20:55 AM,2331,46332,23.5
27,T4_______8_12_20,130 1:10,3528,8/12/2020 11:25:57 AM,439,8777,11.9
27,T4_______8_12_20,130 1:5,3529,8/12/2020 11:30:47 AM,557,11135,18.4
27,T4_______8_12_20,130,3587,8/12/2020 11:36:49 AM,2405,42164,61.2
27,T4_______8_12_20,131 1:10,3530,8/12/2020 11:29:38 AM,254,5076,0.3
27,T4_______8_12_20,131 1:2,3531,8/12/2020 11:31:55 AM,339,6783,0.3
27,T4_______8_12_20,131,3588,8/12/2020 11:37:57 AM,551,10996,3
27,T4_______8_12_20,132 1:10,3532,8/12/2020 11:33:03 AM,4069,80447,18.7
27,T4_______8_12_20,133 1:10,3534,8/12/2020 11:34:11 AM,3347,66287,9.5
27,T4_______8_12_20,134 1:10,3536,8/12/2020 11:39:07 AM,1775,35350,9.35
27,T4_______8_12_20,135 1:10,3538,8/12/2020 11:40:24 AM,2265,44971,11.2
27,T4_______8_12_20,135 1:10 from OG; different stai,3539,8/12/2020 11:42:31 AM,1973,39248,7.85
27,T4_______8_12_20,136 1:10,3540,8/12/2020 11:43:40 AM,479,9550,9.8
27,T4_______8_12_20,137 1:10,3542,8/12/2020 11:45:14 AM,2499,49642,45.4
27,T4_______8_12_20,138 1:10,3544,8/12/2020 11:46:37 AM,2384,47375,16.2
27,T4_______8_12_20,139 1:10,3546,8/12/2020 11:47:45 AM,3515,69586,16.6
27,T4_______8_12_20,139 1:10  from OG,3547,8/12/2020 11:49:29 AM,3088,61151,20
27,T4_______8_12_20,140 1:10,3548,8/12/2020 11:50:47 AM,2956,58585,19.2
27,T4_______8_12_20,141 1:10,3550,8/12/2020 11:51:54 AM,526,10498,9.8
27,T4_______8_12_20,141,3551,8/12/2020 11:53:20 AM,2302,45637,89.3
27,T4_______8_12_20,142 1:10,3552,8/12/2020 11:54:46 AM,483,9659,3.8
27,T4_______8_12_20,142,3553,8/12/2020 11:55:56 AM,2272,45134,20.9
27,T4_______8_12_20,143 1:10,3554,8/12/2020 11:57:04 AM,2563,50866,15.5
27,T4_______8_12_20,144 1:10,3556,8/12/2020 11:58:11 AM,524,10448,1.55
27,T4_______8_12_20,144,3557,8/12/2020 11:59:20 AM,2989,59233,23.3
27,T4_______8_12_20,145 1:10,3558,8/12/2020 12:00:31 PM,634,12669,3.2
27,T4_______8_12_20,145 1:2,3559,8/12/2020 12:01:39 PM,1726,34337,18.4
27,T4_______8_12_20,146 1:10,3560,8/12/2020 12:02:47 PM,2570,51044,14.5
27,T4_______8_12_20,147 1:10,3562,8/12/2020 12:03:55 PM,4801,94765,32.4
27,T4_______8_12_20,147,3563,8/12/2020 12:05:05 PM,2432,48220,16.3
27,T4_______8_12_20,148 1:10,3571,8/12/2020 12:06:14 PM,2747,54509,17.2
27,T4_______8_12_20,148,3572,8/12/2020 12:07:22 PM,19709,202801,82.9
27,T4_______8_12_20,unstained GTA,3589,8/12/2020 12:08:17 PM,132,2636,0.4
27,T4_______8_12_20,149 1:10,3573,8/12/2020 12:09:26 PM,328,6544,0.35
27,T4_______8_12_20,149,3574,8/12/2020 12:10:34 PM,1042,20780,0.95
